### Starting production?!

# bio1 PE   N=53  Avg= $94.39 min=11.49 max=342.57
# bio1 SEPE N=4   Avg= $82.82 min=30.45 max=135.08
# bio1      N=57  Avg= $93.58 min=11.49 max=343.57
# bio2 PE   N=47  Avg=$184.81 min=44.16 max=364.20
# bio2 SEPE N=15  Avg=$140.52 min=68.49 max=219.63
# bio2      N=62  Avg=$174.10 min=44.16 max=364.20
# all       N=119 Avg=$135.53 min=11.49 max=364.20

# TODO: 1st test: DNase ENCODE3: Assemble for GRCh38, but then run first on hg19
#Experiment     On    Reps        Assembled   Launched    Posted     Duration     Cost 
ENCSR749BWV E3 GRCh38 1,2         2016-08-30

# Done: GRCh38 DNase ENCODE3: Failures on hg19
#Experiment     On    Reps        Assembled   Launched    Posted      Duration     Cost 
ENCSR015BGH E3 GRCh38 1_1.2       2016-09-14
ENCSR257BGZ E3 GRCh38 1,2_1.2     2016-09-14
ENCSR493VDS E3 GRCh38 1_1.2       2016-09-14
ENCSR627NIF E3 GRCh38 1,2_1.2     2016-09-14
ENCSR901BRM E3 GRCh38 1           2016-08-30

# TODO: GRCh38 DNase ENCODE3: 1 replicate PE GRCh38
#Experiment     On    Reps        Assembled   Launched    Posted      Duration     Cost 
ENCSR048BUO E3 GRCh38 1           2016-08-30
ENCSR064EFK E3 GRCh38 1           2016-08-30
ENCSR066WZJ E3 GRCh38 1           2016-08-30
ENCSR087QUG E3 GRCh38 1           2016-08-30
ENCSR137EEM E3 GRCh38 1           2016-08-30
ENCSR171ETY E3 GRCh38 1           2016-08-30
ENCSR174TIP E3 GRCh38 1           2016-08-30
ENCSR191FOV E3 GRCh38 1           2016-08-30
ENCSR207TUX E3 GRCh38 1           2016-08-30
ENCSR215FCQ E3 GRCh38 1           2016-08-30
ENCSR229PFU E3 GRCh38 1           2016-08-30
ENCSR237WJY E3 GRCh38 1           2016-08-30
ENCSR274JIR E3 GRCh38 1           2016-08-30
ENCSR382JUJ E3 GRCh38 1           2016-08-30
ENCSR423UEH E3 GRCh38 1           2016-08-30
ENCSR456SOX E3 GRCh38 1           2016-08-30
ENCSR475SYH E3 GRCh38 1           2016-08-30
ENCSR485CIR E3 GRCh38 1           2016-08-30
ENCSR493IAY E3 GRCh38 1           2016-08-30
ENCSR499IFY E3 GRCh38 1           2016-08-30
