####### Working on: LRNA GRCh38 backlog

# Special case - "with internal_status of 'requires lab review' cannot be launched."
ENCSR703QFF       GRCh38 v24 shRNA  1,2   yes     -

####### GRCh38 Full list
# Experiment      On                Reps  TopHat  Assembled  Launched    Posted         Time  Cost
ENCSR000AAA       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   19h06m  $52.31
ENCSR000AAB       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   16h46m  $48.85
ENCSR000AAC       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   19h17m  $51.18
ENCSR000AAD       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   14h42m  $41.33
ENCSR000AAE       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   17h53m  $51.30
ENCSR000AAF       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   20h38m  $59.58
ENCSR000AAG       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   18h23m  $53.31
ENCSR000AAH       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   22h04m  $55.93
ENCSR000AAI       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   17h56m  $49.12
ENCSR000AAJ       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24 1d01h28m  $62.02
ENCSR000AAK       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   22h53m  $64.26
ENCSR000AAL       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   20h03m  $55.55
ENCSR000AAM       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   19h56m  $50.56
ENCSR000AAN       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   20h27m  $52.40
ENCSR000AAO       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   19h55m  $58.00
ENCSR000AAP       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   19h36m  $56.95
ENCSR000AAQ       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   20h33m  $57.38
ENCSR000AAR       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   21h12m  $56.27
ENCSR000AAS       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   17h52m  $50.05
ENCSR000AAT       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   18h31m  $39.36
ENCSR000AAU       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   15h20m  $38.94
ENCSR000AAV       GRCh38 v24 -      1,2   no      -          2016-02-20  2016-02-24   20h20m  $52.43
ENCSR000AEC       GRCh38 v24        1,2   no      -          2016-01-22  2016-02-03   10h05m  $27.46
ENCSR000AED       GRCh38 v24        1,2   no      -          2016-01-22  2016-02-03   10h40m  $30.11
ENCSR000AEE       GRCh38 v24        1,2   no      -          2016-01-22  2016-02-03    6h54m  $19.33
ENCSR000AEF       GRCh38 v24        1,2   no      -          2016-01-22  2016-02-03   13h30m  $28.81
ENCSR000AEG       GRCh38 v24        1,2   no      -          2016-01-22  2016-02-03    9h44m  $28.15
ENCSR000AEH       GRCh38 v24        1,2   no      -          2016-01-22  2016-02-03   13h17m  $33.22
ENCSR000AEL       GRCh38 v24        1,2   no      -          2016-01-22  2016-02-03    8h12m  $23.43
ENCSR000AEM       GRCh38 v24        1,2   no      -          2016-01-22  2016-02-03   10h57m  $30.18
ENCSR000AEN       GRCh38 v24        1,2   yes     -          2016-01-22  2016-02-03 1d04h22m  $93.47
ENCSR000AEO       GRCh38 v24        1,2   yes     -          2016-01-22  2016-02-03   21h09m  $78.20
ENCSR000AEP       GRCh38 v24        1,2   no      -          2016-01-22  2016-02-04   12h49m  $33.79
ENCSR000AEQ       GRCh38 v24        1,2   no      -          2016-01-22  2016-02-03   13h12m  $37.21
ENCSR000AEU       GRCh38 v24 -      1,2   no      -          2016-03-25  2016-03-28  1d4h11m  $39.83         
